,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
24363,Man,50-54,Spain,Master’s degree,Research Scientist,Computers/Technology,50-249 employees,Europa,data
24365,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Software Engineer,Broadcasting/Communications,50-249 employees,Europa,developer
24366,Man,22-24,India,Bachelor’s degree,Machine Learning Engineer,,,Asia,data
24370,Man,25-29,Portugal,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Europa,data
24373,Man,45-49,Spain,Doctoral degree,Data Scientist,Academics/Education,0-49 employees,Europa,data
24375,Man,18-21,India,Bachelor’s degree,Data Scientist,Academics/Education,"1000-9,999 employees",Asia,data
24376,Man,25-29,China,Master’s degree,Business Analyst,Accounting/Finance,50-249 employees,Asia,data
24377,Woman,22-24,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
24380,Woman,25-29,Turkey,Master’s degree,Data Scientist,,,Asia,data
24381,Man,18-21,India,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees,Asia,data
24383,Man,40-44,United States of America,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",América del Norte,data
24388,Man,55-59,Japan,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
24389,Man,22-24,Bangladesh,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
24393,Man,30-34,Indonesia,I prefer not to answer,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
24396,Man,25-29,Australia,Master’s degree,Machine Learning Engineer,Other,0-49 employees,Oceanía,data
24398,Woman,25-29,India,Bachelor’s degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data
24399,Man,18-21,Viet Nam,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
24400,Man,25-29,Italy,Bachelor’s degree,Data Scientist,Energy/Mining,0-49 employees,Europa,data
24402,Man,45-49,Australia,Master’s degree,Data Analyst,Other,0-49 employees,Oceanía,data
24404,Woman,25-29,India,Doctoral degree,Research Scientist,Computers/Technology,0-49 employees,Asia,data
24405,Man,18-21,Turkey,Some college/university study without earning a bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
24406,Man,18-21,Viet Nam,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
24410,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
24412,Man,22-24,India,Bachelor’s degree,Software Engineer,Accounting/Finance,"10,000 or more employees",Asia,developer
24413,Man,22-24,Russia,Master’s degree,Research Scientist,Other,0-49 employees,Europa,data
24417,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
24419,Man,70+,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Government/Public Service,50-249 employees,América del Norte,data
24420,Man,45-49,Greece,Bachelor’s degree,Program/Project Manager,Academics/Education,0-49 employees,Europa,other
24423,Man,18-21,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
24426,Man,45-49,Switzerland,Doctoral degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",Europa,data
24428,Woman,50-54,Italy,Doctoral degree,Statistician,Academics/Education,"1000-9,999 employees",Europa,other
24429,Man,35-39,United States of America,Master’s degree,DBA/Database Engineer,Computers/Technology,50-249 employees,América del Norte,data
24430,Man,22-24,Russia,Master’s degree,Business Analyst,Manufacturing/Fabrication,0-49 employees,Europa,data
24431,Man,22-24,India,Master’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
24433,Man,50-54,Germany,Bachelor’s degree,Software Engineer,Accounting/Finance,0-49 employees,Europa,developer
24437,Man,30-34,Singapore,Master’s degree,Business Analyst,Broadcasting/Communications,"1000-9,999 employees",Asia,data
24439,Woman,25-29,Taiwan,Master’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
24440,Woman,30-34,Singapore,Bachelor’s degree,Developer Relations/Advocacy,Computers/Technology,0-49 employees,Asia,other
24443,Woman,30-34,South Africa,Bachelor’s degree,Business Analyst,Retail/Sales,"10,000 or more employees",África,data
24444,Man,30-34,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
24450,Woman,22-24,India,Bachelor’s degree,Software Engineer,,,Asia,developer
24454,Woman,40-44,India,Bachelor’s degree,Data Analyst,,,Asia,data
24455,Man,25-29,South Korea,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",Asia,data
24456,Woman,25-29,Ukraine,I prefer not to answer,Data Analyst,Accounting/Finance,250-999 employees,Europa,data
24462,Man,40-44,India,Master’s degree,Data Scientist,,,Asia,data
24463,Man,35-39,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,Other,0-49 employees,África,data
24464,Man,40-44,United States of America,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",América del Norte,data
24465,Man,18-21,Russia,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Europa,data
24466,Man,60-69,United States of America,Doctoral degree,Research Scientist,Government/Public Service,250-999 employees,América del Norte,data
24467,Woman,25-29,Egypt,Bachelor’s degree,Machine Learning Engineer,,,África,data
24470,Man,35-39,Brazil,Master’s degree,Data Scientist,Broadcasting/Communications,250-999 employees,América del Sur,data
24471,Man,22-24,"Iran, Islamic Republic of...",Master’s degree,Research Scientist,Energy/Mining,0-49 employees,África,data
24474,Man,40-44,Morocco,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,África,data
24476,Man,22-24,Kenya,Bachelor’s degree,Statistician,Computers/Technology,0-49 employees,África,other
24480,Man,25-29,Bangladesh,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
24481,Man,30-34,South Korea,No formal education past high school,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
24482,Man,25-29,Poland,Master’s degree,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",Europa,data
24486,Man,35-39,Singapore,Master’s degree,Business Analyst,,,Asia,data
24489,Man,30-34,Germany,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
24492,Man,18-21,Mexico,Bachelor’s degree,Research Scientist,,,América del Sur,data
24494,Man,22-24,Nigeria,Bachelor’s degree,Data Analyst,,,África,data
24496,Man,45-49,Poland,Master’s degree,Data Analyst,Computers/Technology,0-49 employees,Europa,data
24497,Man,30-34,India,Master’s degree,Data Analyst,Non-profit/Service,250-999 employees,Asia,data
24502,Man,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
24503,Man,18-21,India,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees,Asia,data
24505,Woman,22-24,Thailand,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
24507,Woman,25-29,India,Bachelor’s degree,Software Engineer,Shipping/Transportation,"10,000 or more employees",Asia,developer
24513,Man,22-24,China,Master’s degree,Data Analyst,Academics/Education,"1000-9,999 employees",Asia,data
24515,Man,25-29,Poland,Master’s degree,Data Scientist,Manufacturing/Fabrication,50-249 employees,Europa,data
24518,Man,22-24,Pakistan,Bachelor’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data
24519,Man,18-21,Turkey,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Asia,data
24520,Man,55-59,Mexico,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,0-49 employees,América del Sur,data
24522,Woman,35-39,India,Master’s degree,Developer Relations/Advocacy,Manufacturing/Fabrication,"10,000 or more employees",Asia,other
24523,Man,30-34,Russia,No formal education past high school,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees",Europa,data
24524,Man,45-49,Portugal,Doctoral degree,Software Engineer,Academics/Education,0-49 employees,Europa,developer
24525,Man,35-39,India,Master’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
24526,Man,25-29,India,Master’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Asia,data
24527,Man,50-54,Chile,Bachelor’s degree,Data Scientist,Government/Public Service,250-999 employees,América del Sur,data
24528,Man,30-34,Indonesia,I prefer not to answer,Data Analyst,,,Asia,data
24531,Woman,35-39,Nigeria,Bachelor’s degree,Product Manager,Manufacturing/Fabrication,0-49 employees,África,other
24532,Man,30-34,Turkey,Master’s degree,Data Scientist,Hospitality/Entertainment/Sports,0-49 employees,Asia,data
24534,Man,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
24536,Man,45-49,Brazil,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",América del Sur,data
24538,Man,22-24,Romania,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,Europa,data
24539,Man,25-29,India,Master’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Asia,data
24540,Man,60-69,Japan,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
24541,Man,22-24,South Korea,Some college/university study without earning a bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
24542,Man,50-54,Spain,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
24543,Man,25-29,India,Bachelor’s degree,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees",Asia,data
24545,Woman,35-39,Chile,Doctoral degree,Data Scientist,Shipping/Transportation,"10,000 or more employees",América del Sur,data
24546,Man,22-24,India,Master’s degree,Software Engineer,,,Asia,developer
24551,Man,50-54,Portugal,Professional doctorate,Data Analyst,Medical/Pharmaceutical,250-999 employees,Europa,data
24555,Man,30-34,Belgium,Master’s degree,Machine Learning Engineer,Manufacturing/Fabrication,50-249 employees,Europa,data
24556,Man,40-44,United Arab Emirates,Master’s degree,Data Scientist,Government/Public Service,"10,000 or more employees",Asia,data
24558,Man,22-24,India,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
24560,Man,25-29,India,Master’s degree,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",Asia,data
24564,Man,60-69,Israel,Master’s degree,Data Scientist,Accounting/Finance,50-249 employees,Asia,data
24565,Man,22-24,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,50-249 employees,Asia,data
24568,Man,25-29,India,Bachelor’s degree,Software Engineer,Medical/Pharmaceutical,"1000-9,999 employees",Asia,developer
24569,Man,35-39,South Africa,Master’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees",África,data
24571,Man,25-29,Egypt,Bachelor’s degree,Data Engineer,Computers/Technology,0-49 employees,África,data
24572,Man,18-21,Tunisia,Master’s degree,Software Engineer,Academics/Education,0-49 employees,África,developer
24573,Man,40-44,India,Bachelor’s degree,Business Analyst,Government/Public Service,"10,000 or more employees",Asia,data
24576,Woman,22-24,"Iran, Islamic Republic of...",Doctoral degree,Data Scientist,Medical/Pharmaceutical,0-49 employees,África,data
24577,Man,30-34,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
24579,Man,50-54,Japan,Doctoral degree,Research Scientist,Government/Public Service,"1000-9,999 employees",Asia,data
24584,Man,22-24,India,Bachelor’s degree,Data Analyst,Insurance/Risk Assessment,"10,000 or more employees",Asia,data
24585,Man,30-34,United States of America,Master’s degree,Machine Learning Engineer,Insurance/Risk Assessment,0-49 employees,América del Norte,data
24586,Man,40-44,Taiwan,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees",Asia,data
24587,Woman,18-21,Viet Nam,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
24588,Man,35-39,South Korea,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees",Asia,data
24590,Man,50-54,Brazil,Some college/university study without earning a bachelor’s degree,Software Engineer,Government/Public Service,"1000-9,999 employees",América del Sur,developer
24594,Man,22-24,Tunisia,Master’s degree,Statistician,Marketing/CRM,50-249 employees,África,other
24595,Man,25-29,Viet Nam,No formal education past high school,Software Engineer,Accounting/Finance,"10,000 or more employees",Asia,developer
24596,Man,18-21,India,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
24597,Man,18-21,India,Master’s degree,Data Analyst,Other,0-49 employees,Asia,data
24598,Man,18-21,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Europa,data
24600,Man,60-69,Brazil,Master’s degree,Program/Project Manager,Accounting/Finance,50-249 employees,América del Sur,other
24602,Man,25-29,Russia,Master’s degree,Machine Learning Engineer,Medical/Pharmaceutical,0-49 employees,Europa,data
24605,Man,50-54,United States of America,Bachelor’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees",América del Norte,data
24606,Man,22-24,India,Bachelor’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
24608,Man,45-49,Hong Kong (S.A.R.),Doctoral degree,Business Analyst,,,Asia,data
24609,Man,22-24,Greece,Bachelor’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",Europa,data
24611,Man,30-34,Singapore,Doctoral degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
24613,Man,18-21,Indonesia,Master’s degree,Research Scientist,Academics/Education,0-49 employees,Asia,data
24614,Man,35-39,United States of America,Bachelor’s degree,Software Engineer,Manufacturing/Fabrication,"10,000 or more employees",América del Norte,developer
24616,Man,25-29,France,Master’s degree,Machine Learning Engineer,Accounting/Finance,0-49 employees,Europa,data
24617,Man,25-29,Kenya,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,África,data
24620,Man,45-49,India,Master’s degree,Data Scientist,Marketing/CRM,0-49 employees,Asia,data
24621,Woman,30-34,United States of America,Master’s degree,Data Scientist,Hospitality/Entertainment/Sports,"10,000 or more employees",América del Norte,data
24622,Man,30-34,Japan,Master’s degree,Software Engineer,,,Asia,developer
24623,Man,40-44,Singapore,Doctoral degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data
24624,Man,22-24,India,Bachelor’s degree,Data Scientist,Other,0-49 employees,Asia,data
24627,Woman,22-24,India,Bachelor’s degree,Data Analyst,Computers/Technology,50-249 employees,Asia,data
24628,Man,45-49,Poland,Doctoral degree,Research Scientist,Military/Security/Defense,250-999 employees,Europa,data
24630,Man,45-49,United States of America,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",América del Norte,developer
24631,Man,25-29,Japan,Master’s degree,Program/Project Manager,Medical/Pharmaceutical,"10,000 or more employees",Asia,other
24635,Man,18-21,India,Bachelor’s degree,Data Scientist,Other,,Asia,data
24636,Man,25-29,South Korea,Master’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
24637,Man,22-24,India,Master’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
24640,Man,22-24,Peru,Some college/university study without earning a bachelor’s degree,Statistician,Computers/Technology,0-49 employees,América del Sur,other
24642,Man,22-24,India,Master’s degree,Data Scientist,Retail/Sales,0-49 employees,Asia,data
24643,Man,55-59,Israel,Master’s degree,Data Scientist,Manufacturing/Fabrication,0-49 employees,Asia,data
24646,Man,40-44,Italy,Master’s degree,Statistician,Hospitality/Entertainment/Sports,50-249 employees,Europa,other
24647,Man,35-39,India,Bachelor’s degree,Data Analyst,Accounting/Finance,"1000-9,999 employees",Asia,data
24650,Man,35-39,United States of America,Master’s degree,Data Scientist,Energy/Mining,50-249 employees,América del Norte,data
24651,Man,25-29,France,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,Europa,data
24653,Man,45-49,Singapore,Bachelor’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees",Asia,data
24656,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Other,0-49 employees,Asia,data
24657,Man,50-54,Turkey,Bachelor’s degree,Machine Learning Engineer,Military/Security/Defense,0-49 employees,Asia,data
24658,Man,30-34,Ukraine,Master’s degree,Data Analyst,Marketing/CRM,50-249 employees,Europa,data
24660,Man,22-24,Israel,Bachelor’s degree,Data Scientist,,,Asia,data
24662,Woman,30-34,Australia,Bachelor’s degree,Data Analyst,Government/Public Service,250-999 employees,Oceanía,data
24664,Man,25-29,Nigeria,Master’s degree,Data Scientist,Online Service/Internet-based Services,0-49 employees,África,data
24665,Man,25-29,India,Master’s degree,Data Scientist,Broadcasting/Communications,0-49 employees,Asia,data
24666,Man,60-69,United States of America,Professional doctorate,Data Scientist,Medical/Pharmaceutical,"10,000 or more employees",América del Norte,data
24668,Woman,25-29,India,Bachelor’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Asia,data
24669,Woman,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
24670,Man,25-29,India,Master’s degree,Data Analyst,Computers/Technology,250-999 employees,Asia,data
24671,Man,25-29,Indonesia,Master’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer
24673,Man,22-24,China,Master’s degree,Machine Learning Engineer,Accounting/Finance,0-49 employees,Asia,data
24676,Man,30-34,India,Master’s degree,Data Engineer,Insurance/Risk Assessment,"10,000 or more employees",Asia,data
24678,Man,45-49,India,Master’s degree,Data Scientist,Broadcasting/Communications,"10,000 or more employees",Asia,data
24680,Man,25-29,India,Master’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
24681,Man,45-49,Egypt,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,África,developer
24682,Man,25-29,India,Master’s degree,Machine Learning Engineer,Insurance/Risk Assessment,"10,000 or more employees",Asia,data
24685,Woman,30-34,Russia,Master’s degree,Data Scientist,Non-profit/Service,0-49 employees,Europa,data
24686,Man,18-21,India,Bachelor’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",Asia,data
24687,Woman,40-44,Russia,No formal education past high school,Product Manager,Accounting/Finance,50-249 employees,Europa,other
24688,Man,25-29,Kenya,Bachelor’s degree,Data Analyst,Government/Public Service,50-249 employees,África,data
24691,Woman,50-54,Indonesia,Doctoral degree,Machine Learning Engineer,Academics/Education,50-249 employees,Asia,data
24692,Man,22-24,Peru,Some college/university study without earning a bachelor’s degree,Data Engineer,Computers/Technology,50-249 employees,América del Sur,data
24693,Woman,30-34,India,Master’s degree,Data Analyst,Medical/Pharmaceutical,0-49 employees,Asia,data
24694,Man,30-34,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Asia,data
24699,Man,40-44,Spain,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Europa,developer
24700,Man,25-29,China,Master’s degree,Machine Learning Engineer,Online Business/Internet-based Sales,50-249 employees,Asia,data
24701,Man,22-24,Russia,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,Europa,developer
24702,Man,22-24,Kenya,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees,África,data
24704,Woman,45-49,India,Doctoral degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data
24706,Man,35-39,India,Master’s degree,Data Analyst,Other,"10,000 or more employees",Asia,data
24710,Man,25-29,Nigeria,Bachelor’s degree,Software Engineer,Marketing/CRM,0-49 employees,África,developer
24711,Man,35-39,Germany,Doctoral degree,Statistician,Academics/Education,"10,000 or more employees",Europa,other
24712,Man,18-21,Pakistan,Some college/university study without earning a bachelor’s degree,Data Scientist,Non-profit/Service,0-49 employees,Asia,data
24715,Woman,25-29,South Korea,Bachelor’s degree,Data Engineer,Government/Public Service,250-999 employees,Asia,data
24718,Man,40-44,Nigeria,Master’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",África,data
24720,Man,25-29,Egypt,No formal education past high school,Data Analyst,Computers/Technology,0-49 employees,África,data
24723,Man,22-24,Turkey,Master’s degree,Data Analyst,Accounting/Finance,0-49 employees,Asia,data
24724,Man,18-21,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Scientist,Academics/Education,"1000-9,999 employees",Asia,data
24725,Man,22-24,Canada,Bachelor’s degree,Data Analyst,Other,0-49 employees,América del Norte,data
24726,Man,40-44,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
24728,Man,22-24,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
24729,Man,40-44,United States of America,Master’s degree,Software Engineer,Military/Security/Defense,50-249 employees,América del Norte,developer
24732,Woman,40-44,France,Doctoral degree,Data Analyst,Academics/Education,"1000-9,999 employees",Europa,data
24737,Man,25-29,Colombia,Master’s degree,Data Scientist,Academics/Education,250-999 employees,América del Sur,data
24738,Man,35-39,Germany,Master’s degree,Research Scientist,Medical/Pharmaceutical,"10,000 or more employees",Europa,data
24739,Man,25-29,Russia,Master’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",Europa,data
24740,Man,35-39,Spain,Some college/university study without earning a bachelor’s degree,Business Analyst,Accounting/Finance,0-49 employees,Europa,data
24745,Man,35-39,Brazil,Master’s degree,Software Engineer,Computers/Technology,250-999 employees,América del Sur,developer
24749,Man,18-21,Turkey,Master’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
24750,Man,40-44,Japan,Professional doctorate,Data Scientist,Medical/Pharmaceutical,250-999 employees,Asia,data
24751,Woman,25-29,Poland,Master’s degree,Data Scientist,Online Service/Internet-based Services,50-249 employees,Europa,data
24753,Man,25-29,United States of America,Master’s degree,Business Analyst,Manufacturing/Fabrication,50-249 employees,América del Norte,data
24754,Man,40-44,Turkey,Doctoral degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Asia,data
24755,Man,18-21,United States of America,Master’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees",América del Norte,data
24757,Man,30-34,India,Master’s degree,Data Analyst,Computers/Technology,250-999 employees,Asia,data
24759,Woman,40-44,Indonesia,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data
24761,Woman,35-39,United States of America,Doctoral degree,Data Scientist,Academics/Education,"10,000 or more employees",América del Norte,data
24763,Man,22-24,Portugal,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Europa,data
24764,Man,25-29,Brazil,Master’s degree,Data Scientist,Retail/Sales,50-249 employees,América del Sur,data
24765,Man,25-29,Japan,Master’s degree,Research Scientist,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data
24767,Man,25-29,Colombia,Master’s degree,Data Scientist,Insurance/Risk Assessment,50-249 employees,América del Sur,data
24768,Man,25-29,India,Master’s degree,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",Asia,data
24770,Man,40-44,India,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data
24771,Man,45-49,United States of America,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,América del Norte,developer
24775,Man,55-59,Belarus,No formal education past high school,Software Engineer,Computers/Technology,0-49 employees,Europa,developer
24779,Man,18-21,Russia,Some college/university study without earning a bachelor’s degree,Data Scientist,Academics/Education,"10,000 or more employees",Europa,data
24781,Man,45-49,India,Doctoral degree,Data Scientist,,,Asia,data
24782,Woman,30-34,Algeria,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",África,data
24783,Man,25-29,Ethiopia,Doctoral degree,Machine Learning Engineer,Academics/Education,"10,000 or more employees",África,data
24786,Man,45-49,Japan,Some college/university study without earning a bachelor’s degree,Product Manager,Marketing/CRM,250-999 employees,Asia,other
24788,Man,55-59,Russia,Master’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees",Europa,data
24794,Man,25-29,Saudi Arabia,Bachelor’s degree,Software Engineer,,,Asia,developer
24795,Man,22-24,Russia,Master’s degree,Business Analyst,Retail/Sales,"10,000 or more employees",Europa,data
24796,Man,45-49,United States of America,Bachelor’s degree,Program/Project Manager,Accounting/Finance,50-249 employees,América del Norte,other
24797,Man,55-59,Japan,Master’s degree,Machine Learning Engineer,Manufacturing/Fabrication,"10,000 or more employees",Asia,data
24799,Man,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data
24801,Man,35-39,Germany,Doctoral degree,Research Scientist,Medical/Pharmaceutical,"1000-9,999 employees",Europa,data
24803,Man,22-24,India,Master’s degree,Machine Learning Engineer,Retail/Sales,0-49 employees,Asia,data
24805,Man,30-34,Spain,Master’s degree,Statistician,Medical/Pharmaceutical,"10,000 or more employees",Europa,other
24806,Woman,30-34,India,Master’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Asia,data
24810,Man,30-34,India,Master’s degree,Software Engineer,Medical/Pharmaceutical,"1000-9,999 employees",Asia,developer
24812,Man,30-34,Russia,Master’s degree,Software Engineer,Government/Public Service,"1000-9,999 employees",Europa,developer
24813,Man,35-39,Argentina,Bachelor’s degree,Data Scientist,Energy/Mining,0-49 employees,América del Sur,data
24816,Woman,30-34,United States of America,Master’s degree,Research Scientist,Computers/Technology,250-999 employees,América del Norte,data
24817,Man,18-21,India,Master’s degree,Data Scientist,Academics/Education,"10,000 or more employees",Asia,data
24818,Man,35-39,China,Doctoral degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
24820,Man,35-39,Nigeria,Bachelor’s degree,Data Scientist,Medical/Pharmaceutical,50-249 employees,África,data
24821,Woman,45-49,United Arab Emirates,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Asia,data
24822,Man,40-44,Nigeria,Master’s degree,Data Analyst,Marketing/CRM,0-49 employees,África,data
24823,Man,25-29,India,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
24824,Man,35-39,Spain,Bachelor’s degree,Research Scientist,Academics/Education,0-49 employees,Europa,data
24825,Man,45-49,United States of America,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",América del Norte,data
24828,Woman,30-34,India,Master’s degree,Business Analyst,Retail/Sales,0-49 employees,Asia,data
24829,Man,22-24,Indonesia,Bachelor’s degree,Data Engineer,Shipping/Transportation,"1000-9,999 employees",Asia,data
24830,Man,30-34,United States of America,Master’s degree,Data Scientist,Other,0-49 employees,América del Norte,data
24831,Man,30-34,Japan,Master’s degree,Statistician,Marketing/CRM,0-49 employees,Asia,other
24833,Woman,30-34,United States of America,Doctoral degree,Statistician,Academics/Education,250-999 employees,América del Norte,other
24836,Man,22-24,Japan,Doctoral degree,Research Scientist,Other,0-49 employees,Asia,data
24837,Woman,30-34,United States of America,Master’s degree,Data Analyst,,,América del Norte,data
24839,Man,18-21,Mexico,Master’s degree,Data Analyst,Energy/Mining,"10,000 or more employees",América del Sur,data
24840,Man,25-29,India,Bachelor’s degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Asia,data
24842,Man,50-54,Mexico,Doctoral degree,Software Engineer,Academics/Education,0-49 employees,América del Sur,developer
24843,Woman,30-34,India,Bachelor’s degree,Software Engineer,Shipping/Transportation,250-999 employees,Asia,developer
24845,Man,18-21,Russia,Bachelor’s degree,Software Engineer,Other,50-249 employees,Europa,developer
24847,Man,35-39,India,Doctoral degree,Business Analyst,,,Asia,data
24850,Man,35-39,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,Online Business/Internet-based Sales,250-999 employees,América del Norte,developer
24852,Man,50-54,Canada,Some college/university study without earning a bachelor’s degree,Program/Project Manager,Academics/Education,,América del Norte,other
24853,Man,30-34,Brazil,Bachelor’s degree,Data Scientist,Other,250-999 employees,América del Sur,data
24854,Man,50-54,Russia,Bachelor’s degree,Program/Project Manager,Marketing/CRM,0-49 employees,Europa,other
24855,Man,25-29,United States of America,Master’s degree,Data Scientist,Government/Public Service,250-999 employees,América del Norte,data
24858,Man,50-54,Taiwan,Master’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
24860,Man,45-49,Greece,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,Europa,data
24861,Man,35-39,Brazil,Master’s degree,Data Scientist,Other,"10,000 or more employees",América del Sur,data
